doc_id,sentence,key
BBDFT160304.txt,"ft.com                          march 4, 2016 friday 2:18 pm gmt  uk's growing medical tech sector looks to be in rude health  byline: andrew ward in london  length: 822 words   what do you get if you cross a golden triangle with a silicon roundabout?",FALSE
BBDFT160304.txt,"a growing band of uk entrepreneurs hope the answer will be a globally competitive hub for innovation in ""digital health"".",FALSE
BBDFT160304.txt,companies operating at the intersection of technology and medical science are attracting increasing attention -- and finance -- as the digital revolution that has reshaped sectors such as retail and banking begins to transform healthcare.,FALSE
BBDFT160304.txt,"as in other areas, the us west coast has led the way with companies including fitbit, the maker of wearable fitness monitors, but the uk south-east is aiming to give california a run for its money.",FALSE
BBDFT160304.txt,"cambridge cognition, a cambridge-based developer of cognitive testing technology, this week said it was working with london-based ctrl group on wearable devices that could detect signs of dementia and depression by tracking changes in people's everyday behaviour.",FALSE
BBDFT160304.txt,"this was just the latest example of convergence between london's thriving ""silicon roundabout"" tech cluster and the ""golden triangle"" of scientific research between oxford, cambridge and the capital.",FALSE
BBDFT160304.txt,"last month, deepmind, the london-based artificial intelligence company acquired by google for",FALSE
BBDFT160401.txt,"ft.com                          april 1, 2016 friday 5:03 am gmt  healthcare apps battle to be taken seriously  byline: andrew jack  length: 959 words   if the vibrancy of an industry is judged by its output, digital health apps are thriving.",FALSE
BBDFT160401.txt,"when assessed instead by uptake and value, progress appears more hesitant.",FALSE
BBDFT160401.txt,"on the apple store alone, there are now more than 165,000 health-related apps available, offering everything from early stage prevention to advanced medical consultation and monitoring.",FALSE
BBDFT160401.txt,yet just 5 per cent register any significant number of downloads.,FALSE
BBDFT160401.txt,"""there's something new every day,"" says karen taylor, director of the uk centre for health solutions at deloitte.",FALSE
BBDFT160401.txt,"""but i think there is a degree of hype.",FALSE
BBDFT160401.txt,"it's difficult to pull out the reality.""",FALSE
BBDFT160401.txt,"there is little doubt about the underlying trend, and capacity, for digital health services.",FALSE
BBDFT160401.txt,"the fast-growing reach of the internet, big data analysis and ever wider availability of smartphones has provided expanding access to more sophisticated tools and information.",TRUE
BBDFT160401.txt,"a study by bcc research estimated that by 2018, the mobile health industry overall would be worth $21.5bn.",FALSE
BBDFT160401.txt,"the technological capacity of such services offers speed, convenience, anonymity and potentially greater effectiveness.",FALSE
BBDFT160401.txt,"the trend towards ""gamefication"" and nudging in order to gently change individual behaviours provides new approaches and motivations which are increasingly being tapped in health.",FALSE
BBDFT160401.txt,"a poll in february by pwc concluded that ""people are demanding more convenient care, more access and a bigger say in decisions about them and their care ...",FALSE
BBDFT160401.txt,"they're willing to have their care in non-traditional settings, from non-traditional players.""",FALSE
BBDFT160401.txt,"brian pomering, a pwc partner specialising in healthcare, says: ""i think we're getting to a critical turning point where citizens are not going to accept the status quo.""",FALSE
BBDFT160401.txt,"the majority of health-related apps and online services focus on prevention: systems to inspire, encourage and monitor healthier lifestyles, led by fitness, wellness and nutrition.",FALSE
BBDFT160401.txt,"many incorporate movement indicators, allowing effortless monitoring of distance walked or heights climbed.",FALSE
BBDFT160401.txt,"a newer twist has come in ""brain health"", with tools such as  peak, designed to stimulate improvements in memory, numerical and verbal reasoning; or  wizard, to help the memory in people with schizophrenia.",FALSE
BBDFT160401.txt,"more broadly, services such as the big white wall provide a way to express concerns about depression and seek support.",FALSE
BBDFT160401.txt,others offer cognitive behavioural therapy.,FALSE
BBDFT160401.txt,"other types of health app assist with medicines, home monitoring of medical conditions and sharing of information, which can help with diagnosis, offer guidance and assistance, and even be tapped to help recruitment into clinical trials.",FALSE
BBDFT160401.txt,the growing use of artificial intelligence -- such as  ibm's watson -- offers far greater scope for diagnosis and treatment in the future.,FALSE
BBDFT160401.txt,uncertainties lie ahead.,FALSE
BBDFT160401.txt,one question is how far many health apps measure the right things.,FALSE
BBDFT160401.txt,"as a report from the vitality institute, a think-tank within the south african health insurance company discovery, cautioned this month: ""despite the benefits to health of such interventions, companies ... often entirely neglect to integrate scientific or behavioural evidence into their devices.""",FALSE
BBDFT160401.txt,the uk's national health service has responded with a library showcasing health apps.,FALSE
BBDFT160401.txt,"the european commission is exploring the prospect of establishing ""kitemarks"" of quality for apps.",FALSE
BBDFT160401.txt,another concern is whether devices measure reliably.,FALSE
BBDFT160401.txt,"integrated movement indicators, for instance, will only work so long as the wearer is attached to them.",FALSE
BBDFT160401.txt,they are open to manipulation for those seeking to overstate their physical activity -- a temptation in the case of apps linked to incentives offered by health insurers and other providers.,FALSE
BBDFT160401.txt,the us food and drug administration has stepped up regulatory scrutiny of apps which directly affect patients.,FALSE
